Analysis,Subject,Channel,Class,Metric,Value
Grand Average ERP,1,C3 (Right Hand),1,Correlation,0.33337063293491226
Grand Average ERP,1,C3 (Right Hand),1,RMSE,0.08412057906389236
Grand Average ERP,1,C3 (Right Hand),1,Freq Domain Wasserstein Dist,0.5553717685341836
Time-Frequency,1,C3 (Right Hand),1,Correlation (TF),0.990225501106001
Time-Frequency,1,C3 (Right Hand),1,RMSE (TF dB),1.3604047298431396
PSD,1,C3 (Right Hand),1,PSD Correlation,0.9629074269483172
PSD,1,C3 (Right Hand),1,PSD RMSE,0.0006351399351842701
PSD Band Power,1,C3 (Right Hand),1,Delta Power Diff (Real-Synth),-1.6328698393408558e-09
PSD Band Power,1,C3 (Right Hand),1,Delta Power Real,1.575394747987957e-08
PSD Band Power,1,C3 (Right Hand),1,Delta Power Synth,1.7386817319220427e-08
PSD Band Distribution,1,C3 (Right Hand),1,Delta KS p-value,0.602149775143077
PSD Band Distribution,1,C3 (Right Hand),1,Delta Wasserstein Dist,2.2941415902013696e-09
PSD Band Power,1,C3 (Right Hand),1,Theta Power Diff (Real-Synth),0.00011014379560947418
PSD Band Power,1,C3 (Right Hand),1,Theta Power Real,0.0004783727054018527
PSD Band Power,1,C3 (Right Hand),1,Theta Power Synth,0.00036822890979237854
PSD Band Distribution,1,C3 (Right Hand),1,Theta KS p-value,0.3479464079848523
PSD Band Distribution,1,C3 (Right Hand),1,Theta Wasserstein Dist,0.0001103244959295858
PSD Band Power,1,C3 (Right Hand),1,Alpha Power Diff (Real-Synth),-0.0009804721921682358
PSD Band Power,1,C3 (Right Hand),1,Alpha Power Real,0.0053604054264724255
PSD Band Power,1,C3 (Right Hand),1,Alpha Power Synth,0.006340877618640661
PSD Band Distribution,1,C3 (Right Hand),1,Alpha KS p-value,0.09988065048439365
PSD Band Distribution,1,C3 (Right Hand),1,Alpha Wasserstein Dist,0.0010991817146711296
PSD Band Power,1,C3 (Right Hand),1,Beta Power Diff (Real-Synth),0.0002701596822589636
