Analysis,Subject,Channel,Class,Metric,Value
Grand Average ERP,6,C3 (Right Hand),1,Correlation,0.37569812120197965
Grand Average ERP,6,C3 (Right Hand),1,RMSE,0.10332644730806351
Grand Average ERP,6,C3 (Right Hand),1,Freq Domain Wasserstein Dist,0.7189828022513538
Time-Frequency,6,C3 (Right Hand),1,Correlation (TF),0.9872917989847322
Time-Frequency,6,C3 (Right Hand),1,RMSE (TF dB),1.864803433418274
PSD,6,C3 (Right Hand),1,PSD Correlation,0.9491934099471391
PSD,6,C3 (Right Hand),1,PSD RMSE,0.0008340986096300185
PSD Band Power,6,C3 (Right Hand),1,Delta Power Diff (Real-Synth),1.2013671835120476e-08
PSD Band Power,6,C3 (Right Hand),1,Delta Power Real,2.9042576343840665e-08
PSD Band Power,6,C3 (Right Hand),1,Delta Power Synth,1.702890450872019e-08
PSD Band Distribution,6,C3 (Right Hand),1,Delta KS p-value,0.02718585487851247
PSD Band Distribution,6,C3 (Right Hand),1,Delta Wasserstein Dist,1.20136670770218e-08
PSD Band Power,6,C3 (Right Hand),1,Theta Power Diff (Real-Synth),0.00048169068759307265
PSD Band Power,6,C3 (Right Hand),1,Theta Power Real,0.0007901868084445596
PSD Band Power,6,C3 (Right Hand),1,Theta Power Synth,0.0003084961208514869
PSD Band Distribution,6,C3 (Right Hand),1,Theta KS p-value,0.0003586380885762997
PSD Band Distribution,6,C3 (Right Hand),1,Theta Wasserstein Dist,0.0004816906335690876
PSD Band Power,6,C3 (Right Hand),1,Alpha Power Diff (Real-Synth),0.0015684692189097404
PSD Band Power,6,C3 (Right Hand),1,Alpha Power Real,0.008565206080675125
PSD Band Power,6,C3 (Right Hand),1,Alpha Power Synth,0.006996736861765385
PSD Band Distribution,6,C3 (Right Hand),1,Alpha KS p-value,0.3351120443389618
PSD Band Distribution,6,C3 (Right Hand),1,Alpha Wasserstein Dist,0.0016490647519406465
PSD Band Power,6,C3 (Right Hand),1,Beta Power Diff (Real-Synth),-0.0004852432757616043
PSD Band Power,6,C3 (Right Hand),1,Beta Power Real,0.001884418772533536
PSD Band Power,6,C3 (Right Hand),1,Beta Power Synth,0.0023696620482951403
PSD Band Distribution,6,C3 (Right Hand),1,Beta KS p-value,0.0028388517681871483
PSD Band Distribution,6,C3 (Right Hand),1,Beta Wasserstein Dist,0.000494043598882854
PSD Band Power,6,C3 (Right Hand),1,Gamma Power Diff (Real-Synth),-0.0001472740259487182
PSD Band Power,6,C3 (Right Hand),1,Gamma Power Real,0.00019291247008368373
PSD Band Power,6,C3 (Right Hand),1,Gamma Power Synth,0.0003401864960324019
PSD Band Distribution,6,C3 (Right Hand),1,Gamma KS p-value,1.227500578895649e-05
PSD Band Distribution,6,C3 (Right Hand),1,Gamma Wasserstein Dist,0.00014727400392595364
Grand Average ERP,6,C3 (Right Hand),2,Correlation,0.4126589283273388
Grand Average ERP,6,C3 (Right Hand),2,RMSE,0.09806060045957565
Grand Average ERP,6,C3 (Right Hand),2,Freq Domain Wasserstein Dist,0.7641659017559139
Time-Frequency,6,C3 (Right Hand),2,Correlation (TF),0.9864557759336743
Time-Frequency,6,C3 (Right Hand),2,RMSE (TF dB),2.056960344314575
PSD,6,C3 (Right Hand),2,PSD Correlation,0.8781260255275837
PSD,6,C3 (Right Hand),2,PSD RMSE,0.0011185584589838982
PSD Band Power,6,C3 (Right Hand),2,Delta Power Diff (Real-Synth),3.9477701108125984e-09
PSD Band Power,6,C3 (Right Hand),2,Delta Power Real,2.5298824368746864e-08
PSD Band Power,6,C3 (Right Hand),2,Delta Power Synth,2.1351054257934265e-08
PSD Band Distribution,6,C3 (Right Hand),2,Delta KS p-value,0.18230112088497327
PSD Band Distribution,6,C3 (Right Hand),2,Delta Wasserstein Dist,5.695255083355101e-09
PSD Band Power,6,C3 (Right Hand),2,Theta Power Diff (Real-Synth),9.907520143315196e-05
PSD Band Power,6,C3 (Right Hand),2,Theta Power Real,0.0006148283719085157
PSD Band Power,6,C3 (Right Hand),2,Theta Power Synth,0.0005157531704753637
PSD Band Distribution,6,C3 (Right Hand),2,Theta KS p-value,0.6758196890924131
PSD Band Distribution,6,C3 (Right Hand),2,Theta Wasserstein Dist,0.00010675695585429776
PSD Band Power,6,C3 (Right Hand),2,Alpha Power Diff (Real-Synth),0.0006353752687573433
PSD Band Power,6,C3 (Right Hand),2,Alpha Power Real,0.007518692407757044
PSD Band Power,6,C3 (Right Hand),2,Alpha Power Synth,0.0068833171389997005
PSD Band Distribution,6,C3 (Right Hand),2,Alpha KS p-value,0.5598072748155233
PSD Band Distribution,6,C3 (Right Hand),2,Alpha Wasserstein Dist,0.0007234043497440495
PSD Band Power,6,C3 (Right Hand),2,Beta Power Diff (Real-Synth),-0.00044284621253609657
PSD Band Power,6,C3 (Right Hand),2,Beta Power Real,0.0015889788046479225
PSD Band Power,6,C3 (Right Hand),2,Beta Power Synth,0.002031825017184019
PSD Band Distribution,6,C3 (Right Hand),2,Beta KS p-value,0.0024950402714684116
PSD Band Distribution,6,C3 (Right Hand),2,Beta Wasserstein Dist,0.00044965361614646214
PSD Band Power,6,C3 (Right Hand),2,Gamma Power Diff (Real-Synth),-0.00012594807776622474
PSD Band Power,6,C3 (Right Hand),2,Gamma Power Real,0.0001783184998203069
PSD Band Power,6,C3 (Right Hand),2,Gamma Power Synth,0.00030426657758653164
PSD Band Distribution,6,C3 (Right Hand),2,Gamma KS p-value,1.999817762672779e-06
