Analysis,Subject,Channel,Class,Metric,Value
Grand Average ERP,3,C3 (Right Hand),1,Correlation,0.5949204598188862
Grand Average ERP,3,C3 (Right Hand),1,RMSE,0.09190937131643295
Grand Average ERP,3,C3 (Right Hand),1,Freq Domain Wasserstein Dist,0.6505949472496287
Time-Frequency,3,C3 (Right Hand),1,Correlation (TF),0.9881218772206922
Time-Frequency,3,C3 (Right Hand),1,RMSE (TF dB),1.3226442337036133
PSD,3,C3 (Right Hand),1,PSD Correlation,0.9324775635711298
PSD,3,C3 (Right Hand),1,PSD RMSE,0.0008163867751136422
PSD Band Power,3,C3 (Right Hand),1,Delta Power Diff (Real-Synth),4.736109282532652e-09
PSD Band Power,3,C3 (Right Hand),1,Delta Power Real,1.67139102558167e-08
PSD Band Power,3,C3 (Right Hand),1,Delta Power Synth,1.1977800973284047e-08
PSD Band Distribution,3,C3 (Right Hand),1,Delta KS p-value,0.29984429653072964
PSD Band Distribution,3,C3 (Right Hand),1,Delta Wasserstein Dist,4.749117855460961e-09
PSD Band Power,3,C3 (Right Hand),1,Theta Power Diff (Real-Synth),1.1729425750672817e-05
PSD Band Power,3,C3 (Right Hand),1,Theta Power Real,0.00036371464375406504
PSD Band Power,3,C3 (Right Hand),1,Theta Power Synth,0.0003519852180033922
PSD Band Distribution,3,C3 (Right Hand),1,Theta KS p-value,0.8623363344474984
PSD Band Distribution,3,C3 (Right Hand),1,Theta Wasserstein Dist,6.102917380098298e-05
PSD Band Power,3,C3 (Right Hand),1,Alpha Power Diff (Real-Synth),2.7980655431747437e-05
PSD Band Power,3,C3 (Right Hand),1,Alpha Power Real,0.006562127731740475
PSD Band Power,3,C3 (Right Hand),1,Alpha Power Synth,0.006534147076308727
PSD Band Distribution,3,C3 (Right Hand),1,Alpha KS p-value,0.26758262302241426
PSD Band Distribution,3,C3 (Right Hand),1,Alpha Wasserstein Dist,0.0009373187538796523
PSD Band Power,3,C3 (Right Hand),1,Beta Power Diff (Real-Synth),-0.00012407591566443443
PSD Band Power,3,C3 (Right Hand),1,Beta Power Real,0.0023735424038022757
PSD Band Power,3,C3 (Right Hand),1,Beta Power Synth,0.00249761831946671
PSD Band Distribution,3,C3 (Right Hand),1,Beta KS p-value,0.05966447431011985
PSD Band Distribution,3,C3 (Right Hand),1,Beta Wasserstein Dist,0.00030684732303204595
PSD Band Power,3,C3 (Right Hand),1,Gamma Power Diff (Real-Synth),0.00010238622780889273
PSD Band Power,3,C3 (Right Hand),1,Gamma Power Real,0.00045047211460769176
PSD Band Power,3,C3 (Right Hand),1,Gamma Power Synth,0.00034808588679879904
PSD Band Distribution,3,C3 (Right Hand),1,Gamma KS p-value,0.057315783195538934
