Analysis,Subject,Channel,Class,Metric,Value
Grand Average ERP,4,C3 (Right Hand),1,Correlation,0.5308478209118236
Grand Average ERP,4,C3 (Right Hand),1,RMSE,0.06698564440011978
Grand Average ERP,4,C3 (Right Hand),1,Freq Domain Wasserstein Dist,0.47575078966841106
Time-Frequency,4,C3 (Right Hand),1,Correlation (TF),0.9838747107257935
Time-Frequency,4,C3 (Right Hand),1,RMSE (TF dB),1.7325384616851807
PSD,4,C3 (Right Hand),1,PSD Correlation,0.9728745649352898
PSD,4,C3 (Right Hand),1,PSD RMSE,0.00034876319114118814
PSD Band Power,4,C3 (Right Hand),1,Delta Power Diff (Real-Synth),3.1768134789444957e-09
PSD Band Power,4,C3 (Right Hand),1,Delta Power Real,1.19116547736553e-08
PSD Band Power,4,C3 (Right Hand),1,Delta Power Synth,8.734841294710805e-09
PSD Band Distribution,4,C3 (Right Hand),1,Delta KS p-value,0.14052849812418028
PSD Band Distribution,4,C3 (Right Hand),1,Delta Wasserstein Dist,3.220829706916538e-09
PSD Band Power,4,C3 (Right Hand),1,Theta Power Diff (Real-Synth),0.0001406437804689631
PSD Band Power,4,C3 (Right Hand),1,Theta Power Real,0.00033710041316226125
PSD Band Power,4,C3 (Right Hand),1,Theta Power Synth,0.00019645663269329816
PSD Band Distribution,4,C3 (Right Hand),1,Theta KS p-value,0.0015825852604322461
PSD Band Distribution,4,C3 (Right Hand),1,Theta Wasserstein Dist,0.00014064388955426058
PSD Band Power,4,C3 (Right Hand),1,Alpha Power Diff (Real-Synth),0.000438174931332469
PSD Band Power,4,C3 (Right Hand),1,Alpha Power Real,0.003840302349999547
PSD Band Power,4,C3 (Right Hand),1,Alpha Power Synth,0.003402127418667078
PSD Band Distribution,4,C3 (Right Hand),1,Alpha KS p-value,0.2001935678769716
PSD Band Distribution,4,C3 (Right Hand),1,Alpha Wasserstein Dist,0.0004474788744051936
PSD Band Power,4,C3 (Right Hand),1,Beta Power Diff (Real-Synth),0.00014890392776578665
PSD Band Power,4,C3 (Right Hand),1,Beta Power Real,0.002040727296844125
PSD Band Power,4,C3 (Right Hand),1,Beta Power Synth,0.0018918233690783381
PSD Band Distribution,4,C3 (Right Hand),1,Beta KS p-value,0.28060664744076896
PSD Band Distribution,4,C3 (Right Hand),1,Beta Wasserstein Dist,0.00015080944460082785
PSD Band Power,4,C3 (Right Hand),1,Gamma Power Diff (Real-Synth),-7.616203220095485e-05
PSD Band Power,4,C3 (Right Hand),1,Gamma Power Real,0.00014271943655330688
PSD Band Power,4,C3 (Right Hand),1,Gamma Power Synth,0.00021888146875426173
PSD Band Distribution,4,C3 (Right Hand),1,Gamma KS p-value,0.000370521488351407
PSD Band Distribution,4,C3 (Right Hand),1,Gamma Wasserstein Dist,7.616201825089879e-05
Grand Average ERP,4,C3 (Right Hand),2,Correlation,0.3272217595870172
Grand Average ERP,4,C3 (Right Hand),2,RMSE,0.07250797003507614
