Analysis,Subject,Channel,Class,Metric,Value
Grand Average ERP,8,C3 (Right Hand),1,Correlation,0.503116559534905
Grand Average ERP,8,C3 (Right Hand),1,RMSE,0.0832221508026123
Grand Average ERP,8,C3 (Right Hand),1,Freq Domain Wasserstein Dist,0.5456539035402239
Time-Frequency,8,C3 (Right Hand),1,Correlation (TF),0.9895642343826012
Time-Frequency,8,C3 (Right Hand),1,RMSE (TF dB),1.4308377504348755
PSD,8,C3 (Right Hand),1,PSD Correlation,0.9548136183250302
PSD,8,C3 (Right Hand),1,PSD RMSE,0.0004839008906856179
PSD Band Power,8,C3 (Right Hand),1,Delta Power Diff (Real-Synth),2.0570496417349204e-09
PSD Band Power,8,C3 (Right Hand),1,Delta Power Real,1.4705054063313128e-08
PSD Band Power,8,C3 (Right Hand),1,Delta Power Synth,1.2648004421578207e-08
PSD Band Distribution,8,C3 (Right Hand),1,Delta KS p-value,0.47179277819321114
PSD Band Distribution,8,C3 (Right Hand),1,Delta Wasserstein Dist,2.1747980679679397e-09
PSD Band Power,8,C3 (Right Hand),1,Theta Power Diff (Real-Synth),4.19190910179168e-05
PSD Band Power,8,C3 (Right Hand),1,Theta Power Real,0.00026418486959300935
PSD Band Power,8,C3 (Right Hand),1,Theta Power Synth,0.00022226577857509255
PSD Band Distribution,8,C3 (Right Hand),1,Theta KS p-value,0.4409558665381977
PSD Band Distribution,8,C3 (Right Hand),1,Theta Wasserstein Dist,5.245334439764735e-05
PSD Band Power,8,C3 (Right Hand),1,Alpha Power Diff (Real-Synth),0.0010532899759709835
PSD Band Power,8,C3 (Right Hand),1,Alpha Power Real,0.004997004754841328
PSD Band Power,8,C3 (Right Hand),1,Alpha Power Synth,0.003943714778870344
PSD Band Distribution,8,C3 (Right Hand),1,Alpha KS p-value,0.014430741297148457
PSD Band Distribution,8,C3 (Right Hand),1,Alpha Wasserstein Dist,0.0010533520852838486
PSD Band Power,8,C3 (Right Hand),1,Beta Power Diff (Real-Synth),-0.0002830863231793046
PSD Band Power,8,C3 (Right Hand),1,Beta Power Real,0.0017942379927262664
PSD Band Power,8,C3 (Right Hand),1,Beta Power Synth,0.002077324315905571
PSD Band Distribution,8,C3 (Right Hand),1,Beta KS p-value,0.010414098363682445
PSD Band Distribution,8,C3 (Right Hand),1,Beta Wasserstein Dist,0.00028770302343726547
PSD Band Power,8,C3 (Right Hand),1,Gamma Power Diff (Real-Synth),2.7398637030273676e-06
PSD Band Power,8,C3 (Right Hand),1,Gamma Power Real,0.0002179192815674469
PSD Band Power,8,C3 (Right Hand),1,Gamma Power Synth,0.00021517941786441952
PSD Band Distribution,8,C3 (Right Hand),1,Gamma KS p-value,0.07459562420074785
PSD Band Distribution,8,C3 (Right Hand),1,Gamma Wasserstein Dist,5.806674100265856e-05
Grand Average ERP,8,C3 (Right Hand),2,Correlation,0.5282141835236667
Grand Average ERP,8,C3 (Right Hand),2,RMSE,0.0840873271226883
Grand Average ERP,8,C3 (Right Hand),2,Freq Domain Wasserstein Dist,0.623797889060341
Time-Frequency,8,C3 (Right Hand),2,Correlation (TF),0.9897632890555208
Time-Frequency,8,C3 (Right Hand),2,RMSE (TF dB),1.370652437210083
PSD,8,C3 (Right Hand),2,PSD Correlation,0.9695807456133514
PSD,8,C3 (Right Hand),2,PSD RMSE,0.0003900125448126346
PSD Band Power,8,C3 (Right Hand),2,Delta Power Diff (Real-Synth),1.6478303166422847e-09
