Analysis,Subject,Channel,Class,Metric,Value
Grand Average ERP,5,C3 (Right Hand),1,Correlation,0.5756251319155692
Grand Average ERP,5,C3 (Right Hand),1,RMSE,0.08632668107748032
Grand Average ERP,5,C3 (Right Hand),1,Freq Domain Wasserstein Dist,0.6388105364032092
Time-Frequency,5,C3 (Right Hand),1,Correlation (TF),0.9875785137289285
Time-Frequency,5,C3 (Right Hand),1,RMSE (TF dB),1.4957873821258545
PSD,5,C3 (Right Hand),1,PSD Correlation,0.949911153354447
PSD,5,C3 (Right Hand),1,PSD RMSE,0.0005528728943318129
PSD Band Power,5,C3 (Right Hand),1,Delta Power Diff (Real-Synth),1.8226984366265242e-09
PSD Band Power,5,C3 (Right Hand),1,Delta Power Real,1.7925605888535756e-08
PSD Band Power,5,C3 (Right Hand),1,Delta Power Synth,1.6102907451909232e-08
PSD Band Distribution,5,C3 (Right Hand),1,Delta KS p-value,0.8010371701966811
PSD Band Distribution,5,C3 (Right Hand),1,Delta Wasserstein Dist,2.5374183025451475e-09
PSD Band Power,5,C3 (Right Hand),1,Theta Power Diff (Real-Synth),0.00027970553492195904
PSD Band Power,5,C3 (Right Hand),1,Theta Power Real,0.0005445660790428519
PSD Band Power,5,C3 (Right Hand),1,Theta Power Synth,0.0002648605441208929
PSD Band Distribution,5,C3 (Right Hand),1,Theta KS p-value,0.00017294441456242602
PSD Band Distribution,5,C3 (Right Hand),1,Theta Wasserstein Dist,0.0002797056247360045
PSD Band Power,5,C3 (Right Hand),1,Alpha Power Diff (Real-Synth),-0.00046835560351610184
PSD Band Power,5,C3 (Right Hand),1,Alpha Power Real,0.0033079017885029316
PSD Band Power,5,C3 (Right Hand),1,Alpha Power Synth,0.0037762573920190334
PSD Band Distribution,5,C3 (Right Hand),1,Alpha KS p-value,0.17550199177968875
PSD Band Distribution,5,C3 (Right Hand),1,Alpha Wasserstein Dist,0.0005719077282784771
PSD Band Power,5,C3 (Right Hand),1,Beta Power Diff (Real-Synth),-0.0002718367613852024
PSD Band Power,5,C3 (Right Hand),1,Beta Power Real,0.002105826511979103
PSD Band Power,5,C3 (Right Hand),1,Beta Power Synth,0.0023776632733643055
PSD Band Distribution,5,C3 (Right Hand),1,Beta KS p-value,0.014982851753763703
PSD Band Distribution,5,C3 (Right Hand),1,Beta Wasserstein Dist,0.00033275035915837165
PSD Band Power,5,C3 (Right Hand),1,Gamma Power Diff (Real-Synth),3.717983781825751e-05
PSD Band Power,5,C3 (Right Hand),1,Gamma Power Real,0.0002353280724491924
PSD Band Power,5,C3 (Right Hand),1,Gamma Power Synth,0.0001981482346309349
PSD Band Distribution,5,C3 (Right Hand),1,Gamma KS p-value,0.21402257656793064
PSD Band Distribution,5,C3 (Right Hand),1,Gamma Wasserstein Dist,3.982650498131528e-05
Grand Average ERP,5,C3 (Right Hand),2,Correlation,0.4815336594191576
Grand Average ERP,5,C3 (Right Hand),2,RMSE,0.078105628490448
Grand Average ERP,5,C3 (Right Hand),2,Freq Domain Wasserstein Dist,0.5525807824525983
Time-Frequency,5,C3 (Right Hand),2,Correlation (TF),0.9871154031561702
Time-Frequency,5,C3 (Right Hand),2,RMSE (TF dB),1.796311378479004
PSD,5,C3 (Right Hand),2,PSD Correlation,0.963977530182056
PSD,5,C3 (Right Hand),2,PSD RMSE,0.000779918278567493
PSD Band Power,5,C3 (Right Hand),2,Delta Power Diff (Real-Synth),4.697304767375954e-09
PSD Band Power,5,C3 (Right Hand),2,Delta Power Real,1.7367399962608943e-08
PSD Band Power,5,C3 (Right Hand),2,Delta Power Synth,1.2670095195232989e-08
PSD Band Distribution,5,C3 (Right Hand),2,Delta KS p-value,0.08253121036427184
PSD Band Distribution,5,C3 (Right Hand),2,Delta Wasserstein Dist,4.698077342501522e-09
PSD Band Power,5,C3 (Right Hand),2,Theta Power Diff (Real-Synth),-8.702045306563377e-07
PSD Band Power,5,C3 (Right Hand),2,Theta Power Real,0.00048468689783476293
PSD Band Power,5,C3 (Right Hand),2,Theta Power Synth,0.00048555710236541927
PSD Band Distribution,5,C3 (Right Hand),2,Theta KS p-value,0.7555994580116652
PSD Band Distribution,5,C3 (Right Hand),2,Theta Wasserstein Dist,7.033823400664234e-05
PSD Band Power,5,C3 (Right Hand),2,Alpha Power Diff (Real-Synth),-0.001628499012440443
PSD Band Power,5,C3 (Right Hand),2,Alpha Power Real,0.0035389289259910583
